Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4786876,sub,COGS,Folks,MT,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.5,5/27/24 9:00,5/27/24 9:30,MT - PayPeriod 12 - 05/19/2024
4786919,sub,non-artist COGS,Folks,MT,MAVEN,MAV100,Producer,Worktime,VFX Production,PRO - Producer (Episode),5/27/24,3,5/27/24 9:00,5/27/24 12:00,MT - PayPeriod 12 - 05/19/2024
4786920,sub,non-artist COGS,Folks,MT,Misc,,,Meal Break,VFX Production,,5/27/24,1,5/27/24 12:00,5/27/24 13:00,MT - PayPeriod 12 - 05/19/2024
4786921,sub,non-artist COGS,Folks,MT,Misc,,,Training,VFX Production,,5/27/24,1.5,5/27/24 16:00,5/27/24 17:30,MT - PayPeriod 12 - 05/19/2024
4786922,sub,non-artist COGS,Folks,MT,MAVEN,MAV100,Producer,Worktime,VFX Production,PRO - Producer (Episode),5/27/24,3,5/27/24 13:00,5/27/24 16:00,MT - PayPeriod 12 - 05/19/2024
4786923,sub,non-artist COGS,Folks,MT,MAVEN,MAV100,Producer,Worktime,VFX Production,PRO - Producer (Episode),5/27/24,0.5,5/27/24 17:30,5/27/24 18:00,MT - PayPeriod 12 - 05/19/2024
4786940,sub,COGS,Folks,MT,FightNight,FIN101,Lineup,Worktime,Compositor,CON - Conform (Shot),5/27/24,0.5,5/27/24 9:30,5/27/24 10:00,MT - PayPeriod 12 - 05/19/2024
4786941,sub,COGS,Folks,MT,GladiatorSportsStoryUP,ASS105,CMP - Compositing (Shot),Worktime,Compositor,CMP - Compositing (Shot),5/27/24,4,5/27/24 7:30,5/27/24 11:30,MT - PayPeriod 12 - 05/19/2024
4786942,sub,COGS,Folks,BO,Misc,,,Meeting,Compositor,,5/27/24,1,5/27/24 11:00,5/27/24 12:00,BO - PayPeriod 10 - 05/16/2024
4786947,sub,COGS,Folks,BO,Misc,,,Meal Break,Compositor,,5/27/24,1,5/27/24 15:00,5/27/24 16:00,BO - PayPeriod 10 - 05/16/2024
4787008,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,5/27/24,0.5,5/27/24 10:00,5/27/24 10:30,BO - PayPeriod 10 - 05/16/2024
4787015,sub,non-artist COGS,Folks,MT,Selma,ES100,Supervisor,Worktime,CG Supervision,SUP - Supervisor (Episode),5/27/24,2,5/27/24 9:00,5/27/24 11:00,MT - PayPeriod 12 - 05/19/2024
4787021,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,5/27/24,1,5/27/24 10:30,5/27/24 11:30,BO - PayPeriod 10 - 05/16/2024
4787030,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,5/27/24,1,5/27/24 12:30,5/27/24 13:30,BO - PayPeriod 10 - 05/16/2024
