Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4694369,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2.75,04/12/2024 11:30,04/12/2024 14:15,SG - PayPeriod 9 - 04/07/2024
4694370,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,1.6,04/11/2024 09:00,04/11/2024 10:36,TO - PayPeriod 9 - 04/07/2024
4694371,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,1.6,04/11/2024 10:36,04/11/2024 12:12,TO - PayPeriod 9 - 04/07/2024
4694378,sub,COGS,Folks,SG,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 10:00,04/12/2024 12:00,SG - PayPeriod 9 - 04/07/2024
4694387,sub,COGS,Folks,TO,Fairview,FVW103,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 10:00,04/12/2024 12:00,TO - PayPeriod 9 - 04/07/2024
4694391,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 10:00,04/12/2024 12:00,BO - PayPeriod 7 - 04/01/2024
4694400,sub,non-artist COGS,Fuse,GA,Hysteria,HYS105,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),04/12/2024,0.25,04/12/2024 10:45,04/12/2024 11:00,GA - PayPeriod 9 - 04/08/2024
4694410,sub,COGS,Folks,MT,IWTV,IV207,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 09:00,04/12/2024 12:00,MT - PayPeriod 9 - 04/07/2024
4694411,sub,non-artist COGS,Fuse,GA,Hysteria,HYS105,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 10:15,04/12/2024 10:45,GA - PayPeriod 9 - 04/08/2024
4694413,sub,COGS,Folks,SG,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2.5,04/12/2024 09:00,04/12/2024 11:30,SG - PayPeriod 9 - 04/07/2024
4694416,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,0.5,04/12/2024 12:00,04/12/2024 12:30,SG - PayPeriod 9 - 04/07/2024
4694435,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,0.5,04/11/2024 17:30,04/11/2024 18:00,BO - PayPeriod 7 - 04/01/2024
4694437,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,0.5,04/11/2024 18:30,04/11/2024 19:00,BO - PayPeriod 7 - 04/01/2024
4694439,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,2,04/11/2024 19:00,04/11/2024 21:00,BO - PayPeriod 7 - 04/01/2024
4694451,sub,COGS,Folks,BO,Verne,JV204,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,2,04/12/2024 10:00,04/12/2024 12:00,BO - PayPeriod 7 - 04/01/2024
4694456,sub,COGS,Folks,BO,Verne,JV205,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3.25,04/12/2024 10:00,04/12/2024 13:15,BO - PayPeriod 7 - 04/01/2024
4694487,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 12:30,04/12/2024 13:45,SG - PayPeriod 9 - 04/07/2024
4694489,sub,COGS,Folks,SG,Casper,CA310,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 09:00,04/12/2024 12:00,SG - PayPeriod 9 - 04/07/2024
4694526,sub,COGS,Folks,BO,ForeverAlone,CAD103,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,5,04/12/2024 09:00,04/12/2024 14:00,BO - PayPeriod 7 - 04/01/2024
4694545,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 09:15,04/12/2024 12:15,MT - PayPeriod 9 - 04/07/2024
4694552,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.5,04/12/2024 09:00,04/12/2024 10:30,MT - PayPeriod 9 - 04/07/2024
4694568,sub,non-artist COGS,Folks,BO,Verne,JV204,Comp,Worktime,VFX Supervision,CMP - Compositing (Shot),04/12/2024,0.75,04/12/2024 11:15,04/12/2024 12:00,BO - PayPeriod 7 - 04/01/2024
4694593,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,1.75,04/09/2024 14:15,04/09/2024 16:00,TO - PayPeriod 9 - 04/07/2024
4694595,sub,COGS,Folks,TO,Trap,TRAP100,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/09/2024,5.25,04/09/2024 08:00,04/09/2024 13:15,TO - PayPeriod 9 - 04/07/2024
4694605,sub,COGS,Folks,BO,ForeverAlone,CAD103,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,1.25,04/12/2024 10:00,04/12/2024 11:15,BO - PayPeriod 7 - 04/01/2024
4694688,sub,COGS,Folks,SG,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/12/2024,3,04/12/2024 12:00,04/12/2024 15:00,SG - PayPeriod 9 - 04/07/2024
4694691,sub,COGS,Folks,MT,Casper,CA309,Comp,Worktime,Compositor,CMP - Compositing (Shot),04/11/2024,2,04/11/2024 09:00,04/11/2024 11:00,MT - PayPeriod 9 - 04/07/2024
